rayland-c: Wayland proxy listening at /tmp/rl-tr-wl.sock; point the app at it with WAYLAND_DISPLAY
rayland-c: listening at /tmp/rl-tr.sock, relaying to S at 127.0.0.1:9473
rayland-c: point Mesa at it with:
  VN_DEBUG=vtest VTEST_SOCKET_NAME=/tmp/rl-tr.sock VK_ICD_FILENAMES=<...>/virtio_icd.x86_64.json <app>
[wp-proxy] proxy listening at /tmp/rl-tr-wl.sock
[wp-proxy] application connected: client InnerClientId { id: 0, serial: 1 }
rayland-c: Mesa connected
rayland-c: watching command ring res_id=1 buffer_size=131072
RLTRACE t_ns=859200688061896 stage=T7 side=C res=2 off=14184 len=27
RLTRACE t_ns=859200688084363 stage=T7 side=C res=2 off=14440 len=1
RLTRACE t_ns=859200688106975 stage=T7 side=C res=2 off=14445 len=1
RLTRACE t_ns=859200688489184 stage=T7 side=C res=2 off=14452 len=26
RLTRACE t_ns=859200688823975 stage=T7 side=C res=2 off=14708 len=1
RLTRACE t_ns=859200688847971 stage=T7 side=C res=2 off=14713 len=1
RLTRACE t_ns=859200689295095 stage=T7 side=C res=2 off=14720 len=28
RLTRACE t_ns=859200689676121 stage=T7 side=C res=2 off=14976 len=1
RLTRACE t_ns=859200690082477 stage=T7 side=C res=2 off=14981 len=1
RLTRACE t_ns=859200690657855 stage=T7 side=C res=2 off=14988 len=29
RLTRACE t_ns=859200691344670 stage=T7 side=C res=2 off=15244 len=1
RLTRACE t_ns=859200691718201 stage=T7 side=C res=2 off=15249 len=1
RLTRACE t_ns=859200691936733 stage=T7 side=C res=2 off=15256 len=33
RLTRACE t_ns=859200692562957 stage=T7 side=C res=2 off=15512 len=1
RLTRACE t_ns=859200692761161 stage=T7 side=C res=2 off=15517 len=1
RLTRACE t_ns=859200693248405 stage=T7 side=C res=2 off=15524 len=35
RLTRACE t_ns=859200693768868 stage=T7 side=C res=2 off=15780 len=1
RLTRACE t_ns=859200694311081 stage=T7 side=C res=2 off=15785 len=1
RLTRACE t_ns=859200694898337 stage=T7 side=C res=2 off=15792 len=31
RLTRACE t_ns=859200696248556 stage=T7 side=C res=2 off=16048 len=1
RLTRACE t_ns=859200696632887 stage=T7 side=C res=2 off=16053 len=1
RLTRACE t_ns=859200697227374 stage=T7 side=C res=2 off=16060 len=26
RLTRACE t_ns=859200698071445 stage=T7 side=C res=2 off=16316 len=1
RLTRACE t_ns=859200698561444 stage=T7 side=C res=2 off=16321 len=1
RLTRACE t_ns=859200698676170 stage=T7 side=C res=2 off=16328 len=42
RLTRACE t_ns=859200698792247 stage=T7 side=C res=2 off=16584 len=1
RLTRACE t_ns=859200699506707 stage=T7 side=C res=2 off=16589 len=1
